node,lon,lat
94,43.073372,-89.383802
95,43.098138,-89.326231
96,43.093708,-89.357055
97,43.10016,-89.349162
98,43.106729,-89.343158
99,43.096587,-89.363666
100,43.106774,-89.347619
101,43.083048,-89.378087
102,43.110342,-89.363896
103,43.097032,-89.358523
104,43.081514,-89.382324
105,43.095915,-89.354118
106,43.075898,-89.376695
107,43.084603,-89.375888
108,43.095567,-89.326624
109,43.106978,-89.363977
110,43.091863,-89.372753
111,43.098081,-89.357302
112,43.073724,-89.385494
113,43.106358,-89.340064
114,43.077878,-89.370083
115,43.089701,-89.329819
116,43.091766,-89.355489
117,43.080257,-89.366954
118,43.085012,-89.369346
119,43.096919,-89.35142
120,43.098615,-89.329604
121,43.0874,-89.359165
122,43.087148,-89.372254
123,43.085865,-89.360575
124,43.07876,-89.378724
125,43.099848,-89.335432
126,43.074391,-89.378801
127,43.098507,-89.350738
128,43.091982,-89.359354
129,43.089426,-89.369592
130,43.112244,-89.363888
131,43.087395,-89.353241
132,43.085113,-89.35659
133,43.094233,-89.35359
134,43.090869,-89.367108
135,43.102965,-89.344495
136,43.10161,-89.365197
137,43.100844,-89.34913
138,43.084625,-89.358974
139,43.074933,-89.386107
140,43.10149,-89.352586
141,43.076388,-89.381564
142,43.106881,-89.345137
143,43.097056,-89.368159
144,43.093125,-89.363647
145,43.114057,-89.363722
146,43.095276,-89.352591
147,43.095643,-89.338266
148,43.094292,-89.370375
149,43.104835,-89.351077
150,43.101039,-89.363946
151,43.114269,-89.357265
152,43.093772,-89.346728
153,43.081273,-89.375129
154,43.106876,-89.351865
155,43.0821,-89.379451
156,43.079921,-89.384119
157,43.111485,-89.361702
158,43.090108,-89.362594
159,43.101647,-89.33107
160,43.107065,-89.354439
161,43.099786,-89.332692
162,43.088874,-89.357781
163,43.093198,-89.326822
164,43.07695,-89.373573
165,43.104326,-89.341632
166,43.099981,-89.341378
167,43.11428,-89.361701
168,43.081232,-89.365346
169,43.102938,-89.350274
170,43.083716,-89.362013
171,43.078962,-89.368721
172,43.08245,-89.363518
173,43.08238,-89.373012
174,43.094038,-89.340583
175,43.092613,-89.350784
176,43.10064,-89.353925
177,43.10356,-89.363906
178,43.087276,-89.366583
179,43.100083,-89.346548
180,43.104027,-89.343202
181,43.094031,-89.362729
