start_lat,start_lon,end_lat,end_lon,start_node,end_node
43.086191,-89.436434,43.073403,-89.403854,83,18
43.086191,-89.436434,43.07481,-89.393712,83,27
43.086191,-89.436434,43.080257,-89.366954,83,46
43.080289,-89.428136,43.079964,-89.509348,84,116
43.086348,-89.433704,43.073403,-89.403854,85,18
43.086348,-89.433704,43.096919,-89.35142,85,48
43.086348,-89.433704,43.076728,-89.502157,85,111
43.089087,-89.438266,43.077878,-89.370083,86,44
43.084275,-89.433568,43.041663,-89.404071,87,14
43.084275,-89.433568,43.078849,-89.429817,87,82
43.086637,-89.441761,43.041663,-89.404071,88,14
43.089721,-89.437322,43.074849,-89.3914,89,19
43.089721,-89.437322,43.076388,-89.381564,89,59
43.089721,-89.437322,43.075156,-89.488765,89,113
43.090519,-89.435668,43.038506,-89.398039,90,15
43.090519,-89.435668,43.0874,-89.359165,90,50
43.090519,-89.435668,43.114269,-89.357265,90,62
43.090519,-89.435668,43.090108,-89.362594,90,65
43.090519,-89.435668,43.086637,-89.441761,90,88
43.090519,-89.435668,43.075148,-89.512563,90,118
43.086325,-89.438598,43.081137,-89.502575,91,119
43.07703,-89.428301,43.078849,-89.429817,92,82
43.07703,-89.428301,43.080289,-89.428136,92,84
43.076409,-89.413023,43.076046,-89.384707,93,34
43.076409,-89.413023,43.074933,-89.386107,93,58
43.076409,-89.413023,43.090519,-89.435668,93,90
43.076409,-89.413023,43.075451,-89.456624,93,101
43.076409,-89.413023,43.073376,-89.43397,93,102
43.076409,-89.413023,43.075156,-89.488765,93,113
43.075163,-89.450399,43.099848,-89.335432,94,53
43.075163,-89.450399,43.074673,-89.464546,94,103
43.075163,-89.450399,43.075156,-89.488765,94,113
43.074208,-89.47383,43.081137,-89.502575,95,119
43.074097,-89.467913,43.078849,-89.429817,96,82
43.074097,-89.467913,43.07703,-89.428301,96,92
43.0754,-89.447056,43.074745,-89.388354,98,32
43.0754,-89.447056,43.075183,-89.497947,98,108
43.074878,-89.438444,43.062942,-89.404119,100,11
43.074878,-89.438444,43.07876,-89.378724,100,52
43.075451,-89.456624,43.07481,-89.393712,101,27
43.073376,-89.43397,43.074837,-89.396803,102,20
43.074673,-89.464546,43.104027,-89.343202,103,76
43.074673,-89.464546,43.07894,-89.426722,103,97
43.075113,-89.443898,43.070977,-89.403744,104,5
43.075113,-89.443898,43.073353,-89.401358,104,8
43.075113,-89.443898,43.08245,-89.363518,104,72
43.084239,-89.428972,43.075087,-89.509374,105,114
43.039,-89.3948,43.075897,-89.400235,106,2
43.039,-89.3948,43.074837,-89.396803,106,20
43.039,-89.3948,43.073288,-89.396135,106,29
43.11295,-89.35855,43.076457,-89.423976,107,79
43.075183,-89.497947,43.07607,-89.405625,108,4
43.075183,-89.497947,43.044443,-89.403831,108,23
43.075183,-89.497947,43.071687,-89.392872,108,25
43.075183,-89.497947,43.0874,-89.359165,108,50
43.075183,-89.497947,43.089721,-89.437322,108,89
43.072384,-89.520026,43.073506,-89.409433,109,12
43.072384,-89.520026,43.089334,-89.433693,109,80
43.072384,-89.520026,43.081137,-89.502575,109,119
43.075164,-89.481637,43.070914,-89.399689,110,6
43.075164,-89.481637,43.081273,-89.375129,110,63
43.075164,-89.481637,43.090108,-89.362594,110,65
43.075164,-89.481637,43.089721,-89.437322,110,89
43.075164,-89.481637,43.073376,-89.43397,110,102
43.076728,-89.502157,43.062942,-89.404119,111,11
43.076728,-89.502157,43.094233,-89.35359,111,57
43.076728,-89.502157,43.086257,-89.434878,111,81
43.076728,-89.502157,43.084275,-89.433568,111,87
43.074948,-89.518262,43.07607,-89.405625,112,4
43.074948,-89.518262,43.074837,-89.396803,112,20
