OBJECTID,PointsToLine_shape_id,PointsToLine_shape_id2,trips_routes_route_id,trips_routes_route_short_name,trips_routes_trip_headsign,trips_routes_direction_id,trips_routes_direction_name,trips_routes_shape_id,trips_routes_shape_code,trips_routes_wheelchair_accessi,trips_routes_routes_agency_id,trips_routes_routes_route_long_,trips_routes_routes_route_servi,trips_routes_routes_route_type,trips_routes_routes_route_url,trips_routes_routes_route_color,trips_routes_routes_route_text_,start_date,end_date,PK_MD_WE,ShapeSTLength
3451,60040,60040,9951,70,CAPITOL SQUARE: VIA TERRACE,1,Capitol Square,60040,t70,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A7B5DC,000000,20211205,20220305,000,73644.8062228401
3452,60041,60041,9951,70,CAPITOL SQUARE: VIA DISCOVERY,1,Capitol Square,60041,p70,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A7B5DC,000000,20211205,20220305,110,73395.6874350143
3453,60043,60043,9951,70,CAPITOL SQUARE: VIA TERRACE,1,Capitol Square,60043,a70,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A7B5DC,000000,20211205,20220305,110,78677.5429898239
3454,60048,60048,9953,72,MIDDLETON: VIA BRANCH,0,Middleton,60048,72oP,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-72,9A061B,FFFFFF,20211205,20220305,100,73833.8507594723
3455,60049,60049,9953,72,MIDDLETON: VIA ALLEN,0,Middleton,60049,72oA,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-72,9A061B,FFFFFF,20211205,20220305,100,69023.0776097166
3456,60050,60050,9953,72,CAPITOL SQUARE: VIA ALLEN,1,Capitol Square,60050,72iP,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-72,9A061B,FFFFFF,20211205,20220305,100,66874.5690522274
3457,60051,60051,9953,72,CAPITOL SQUARE: VIA BRANCH,1,Capitol Square,60051,72iA,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-72,9A061B,FFFFFF,20211205,20220305,100,73404.1946997353
3458,60052,60052,9954,73,MIDDLETON: VIA FOURIER,0,Middleton,60052,73p,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,FF7F00,000000,20211205,20220305,110,33939.4669783292
3459,60053,60053,9954,73,TO OLD SAUK,0,Middleton,60053,73j,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,FF7F00,000000,20211205,20220305,000,25791.3947309247
3460,60054,60054,9954,73,MIDDLETON: VIA DEMING,0,Middleton,60054,73a,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,FF7F00,000000,20211205,20220305,110,36422.848331328
3461,60056,60056,9954,73,WEST TRANSFER: VIA DEMING,1,West Transfer,60056,P73,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,FF7F00,000000,20211205,20220305,110,36621.3246614095
3462,60057,60057,9954,73,WEST TRANSFER,1,West Transfer,60057,J73,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,FF7F00,000000,20211205,20220305,000,26108.6691604402
3463,60058,60058,9954,73,WEST TRANSFER: VIA FOURIER,1,West Transfer,60058,A73,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,FF7F00,000000,20211205,20220305,110,34195.5984823408
3464,60059,60059,9955,75,EPIC CAMPUS: VIA VERONA,0,Verona,60059,75op,1,MMT,,VERONA:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,FAA61A,000000,20211205,20220305,100,72682.7291949074
3465,60060,60060,9955,75,EPIC CAMPUS: VIA VERONA,0,Verona,60060,75oa,1,MMT,,VERONA:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,FAA61A,000000,20211205,20220305,100,71898.4176987844
3466,60061,60061,9955,75,CAPITOL SQUARE: VIA VERONA,1,Capitol Square,60061,75ip,1,MMT,,VERONA:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,FAA61A,000000,20211205,20220305,100,70803.3306296277
3467,60062,60062,9955,75,CAPITOL SQUARE: VIA VERONA,1,Capitol Square,60062,75ia,1,MMT,,VERONA:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,FAA61A,000000,20211205,20220305,100,71589.8194633109
3468,60063,60063,9956,78,MIDDLETON: VIA TERRACE,0,Middleton,60063,78X,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-78,749883,000000,20211205,20220305,001,31341.1747988543
3469,60064,60064,9956,78,MIDDLETON: VIA SOUTH RIDGE,0,Middleton,60064,78S,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-78,749883,000000,20211205,20220305,001,56096.631848419
3470,60065,60065,9956,78,WEST TRANSFER: VIA SOUTH RIDGE,1,West Transfer,60065,78Y,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-78,749883,000000,20211205,20220305,001,56058.0742316157
3471,60066,60066,9956,78,WEST TRANSFER: VIA TERRACE,1,West Transfer,60066,78T,1,MMT,,MIDDLTON:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-78,749883,000000,20211205,20220305,001,31305.5176121087
3472,60067,60067,9957,80,MEMORIAL UNION: VIA EAGLE HTS,0,U.W. Campus,60067,80E,1,MMT,,UW CAMPUS:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,CE2A1E,000000,20211205,20220305,101,30234.8300659835
3473,60068,60068,9957,80,MEMORIAL UNION: VIA EAGLE HTS,0,U.W. Campus,60068,80gE,1,MMT,,UW CAMPUS:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,CE2A1E,000000,20211205,20220305,101,25852.250168612
3474,60069,60069,9957,80,MEMORIAL UNION,0,U.W. Campus,60069,80H,1,MMT,,UW CAMPUS:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,CE2A1E,000000,20211205,20220305,110,20050.9065437699
3475,60070,60070,9957,80,MEMORIAL UNION,0,U.W. Campus,60070,80gR,1,MMT,,UW CAMPUS:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,CE2A1E,000000,20211205,20220305,000,6150.24365954507
3476,60071,60071,9957,80,TO U.W. HOSPITAL: VIA EAGLE HTS,0,U.W. Campus,60071,80Mg,1,MMT,,UW CAMPUS:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,CE2A1E,000000,20211205,20220305,101,21382.7969733043
3477,60072,60072,9957,80,MEMORIAL UNION,0,U.W. Campus,60072,80gM,1,MMT,,UW CAMPUS:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,CE2A1E,000000,20211205,20220305,100,16126.3624287621
3478,60074,60074,9957,80,TO EAGLE HTS,0,U.W. Campus,60074,80Eg,1,MMT,,UW CAMPUS:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,CE2A1E,000000,20211205,20220305,100,15942.3879001969
3479,60075,60075,9958,81,MEMORIAL UNION: VIA JOHNSON: VIA WEST WASH,0,U.W. Campus,60075,81,1,MMT,,JOHNSON/W WASH:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-81,F68B1F,000000,20211205,20220305,001,23047.7205010103
3480,60076,60076,9959,82,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0,U.W. Campus,60076,82,1,MMT,,OBSRVTRY/BREESE:UNION,3,http://www.cityofmadison.com/metro/routes-schedules/route-82,006CB7,000000,20211205,20220305,001,22088.782370527
3481,60077,60077,9960,84,EAGLE HEIGHTS: LIMITED STOPS,0,U.W. Campus,60077,84E,1,MMT,,EAGLE HTS:UW CAMPUS,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,6A3393,000000,20211205,20220305,110,23005.8795610768
3482,60079,60079,9960,84,TO EAGLE HTS,0,U.W. Campus,60079,84g,1,MMT,,EAGLE HTS:UW CAMPUS,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,6A3393,000000,20211205,20220305,000,5613.4874087788
3483,60080,60080,9960,84,TO EAGLE HTS: LIMITED STOPS,0,U.W. Campus,60080,84Eg,1,MMT,,EAGLE HTS:UW CAMPUS,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,6A3393,000000,20211205,20220305,100,23005.8795610768
3484,60081,60081,9960,84,EAGLE HEIGHTS: LIMITED STOPS,0,U.W. Campus,60081,84gV,1,MMT,,EAGLE HTS:UW CAMPUS,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,6A3393,000000,20211205,20220305,000,13453.183456205
3485,60526,60526,9933,38,TO U.W. HOSPITAL: VIA ATWOOD,1,University Row,60526,c38h,1,MMT,,UNIV ROW:PFLAUM,3,http://www.cityofmadison.com/metro/routes-schedules/route-38,8D89B3,000000,20211205,20220305,000,43601.5238775023
